# ----------------------------------------
# Report CSV Export
# Account: First Light Games
# Property: blast-royale
# ----------------------------------------
# 
# All Users
# Start date: 20230322
# End date: 20230418

Device model,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
iPhone 11,223,135,699,0.8996138996138996,3.1345291479820627,2446.8565022421526,157435,867,3.817832
(not set),166,137,255,0.8471760797342193,1.536144578313253,972.6506024096385,30081,426,0
M2102J20SG,158,108,375,0.8865248226950354,2.3734177215189876,1889.1645569620252,71626,509,0
iPhone XR,142,68,458,0.8388278388278388,3.2253521126760565,2908.5774647887324,131295,545,0
iPhone 13,130,72,633,0.9377777777777778,4.869230769230769,3747.8615384615387,150927,734,0
Redmi Note 8 Pro,125,89,236,0.8644688644688645,1.888,1281.496,36845,344,0
iPhone 12,125,73,609,0.9427244582043344,4.872,4615.368,176602,700,0
SM-A127F,117,88,235,0.8834586466165414,2.0085470085470085,1353.1709401709402,38885,535,0
Redmi Note 9 Pro,115,83,373,0.8574712643678161,3.243478260869565,5367.113043478261,174320,473,0
SM-A137F,106,81,189,0.9174757281553398,1.7830188679245282,977.2075471698113,21539,285,0
M2004J19C,104,95,168,0.9081081081081082,1.6153846153846154,691.9423076923077,15150,274,0
M2003J15SC,100,92,140,0.9333333333333333,1.4,768.6,15445,235,0
M2007J20CG,87,47,146,0.7684210526315789,1.6781609195402298,1376.7931034482758,28042,206,0
iPhone 13 Pro,83,47,382,0.9249394673123487,4.602409638554217,5906.566265060241,148471,439,0
Redmi Note 8,81,73,127,0.927007299270073,1.5679012345679013,826.2962962962963,13362,205,0
M2101K6G,80,61,186,0.8691588785046729,2.325,1576.5,32481,264,0
SM-A515F,76,61,94,0.7899159663865546,1.236842105263158,589.6973684210526,8731,167,0
SM-A125F,71,60,91,0.8584905660377359,1.2816901408450705,715.0704225352113,9917,159,0
SM-A528B,71,58,120,0.8759124087591241,1.6901408450704225,932.1267605633802,16705,186,0
2201117TY,69,56,137,0.8838709677419355,1.9855072463768115,991.9420289855072,16504,205,0
SM-A217F,67,55,77,0.8461538461538461,1.1492537313432836,506.4925373134328,6373,138,0
